년-월,광진구,중랑구,금천구,강남구
2020-01,2500.26 ,2909.19 ,2440.95 ,7349.5
2020-02,2297.85 ,2712.16 ,2212.73 ,6687.7
2020-03,2423.62 ,2913.00 ,2171.70 ,6973.2
2020-04,2242.92 ,2704.77 ,2494.25 ,6447.6
2020-05,2407.49 ,3099.80 ,2401.84 ,6470.3
2020-06,2379.30 ,3075.01 ,2589.67 ,7922.8
2020-07,1939.39 ,3159.66 ,2853.20 ,8014.5
2020-08,2355.75 ,3267.12 ,2587.26 ,7858.7
2020-09,2466.05 ,3189.00 ,2568.12 ,7452.2
2020-10,2391.18 ,2940.28 ,2711.94 ,6874.6
2020-11,2153.69 ,3112.58 ,2606.19 ,7336.9
2020-12,2462.52 ,3032.43 ,2455.58 ,6911
2021-01,2279.18 ,2747.82 ,2538.40 ,6776.5
2021-02,2174.90 ,2628.92 ,2352.53 ,6155.2
2021-03,2541.93 ,3070.56 ,2739.61 ,7653.5
2021-04,2099.13 ,2887.07 ,2621.75 ,7030.2
2021-05,2266.27 ,2883.13 ,2523.19 ,5859
2021-06,2478.40 ,2919.80 ,2769.67 ,8529.9
